Test: [10/25]	Time 0.058 (1.140)	Loss 0.7126 (0.6202)	Prec@1 100.000 (84.848)	Prec@5 100.000 (84.848)
Test: [15/25]	Time 0.058 (0.802)	Loss 0.6693 (0.6500)	Prec@1 100.000 (89.583)	Prec@5 100.000 (89.583)
Test: [20/25]	Time 0.058 (0.625)	Loss 1.0693 (0.7511)	Prec@1 33.333 (74.603)	Prec@5 33.333 (74.603)
Testing Results: Prec@1 67.333 Prec@5 67.333 Loss 0.81933
Best Prec@1: 67.333

Epoch: [3][0/100], lr: 0.00100	Time 12.171 (12.171)	Data 11.635 (11.635)	Loss 1.2370 (1.2370)	Prec@1 33.333 (33.333)	Prec@5 33.333 (33.333)
Epoch: [3][5/100], lr: 0.00100	Time 0.230 (2.220)	Data 0.000 (1.939)	Loss 0.8274 (1.0103)	Prec@1 100.000 (50.000)	Prec@5 100.000 (50.000)
Epoch: [3][10/100], lr: 0.00100	Time 0.232 (1.316)	Data 0.000 (1.058)	Loss 0.9625 (0.9336)	Prec@1 83.333 (60.606)	Prec@5 83.333 (60.606)
Epoch: [3][15/100], lr: 0.00100	Time 0.230 (0.977)	Data 0.000 (0.727)	Loss 0.8496 (0.9247)	Prec@1 50.000 (61.458)	Prec@5 50.000 (61.458)
Epoch: [3][20/100], lr: 0.00100	Time 0.231 (0.799)	Data 0.000 (0.554)	Loss 1.0659 (0.9910)	Prec@1 33.333 (55.556)	Prec@5 33.333 (55.556)
Epoch: [3][25/100], lr: 0.00100	Time 0.230 (0.690)	Data 0.000 (0.448)	Loss 1.0445 (1.0028)	Prec@1 33.333 (52.564)	Prec@5 33.333 (52.564)
Epoch: [3][30/100], lr: 0.00100	Time 0.230 (0.616)	Data 0.000 (0.376)	Loss 1.1525 (1.0238)	Prec@1 16.667 (47.849)	Prec@5 16.667 (47.849)
Epoch: [3][35/100], lr: 0.00100	Time 0.231 (0.562)	Data 0.001 (0.324)	Loss 1.0759 (1.0290)	Prec@1 33.333 (46.296)	Prec@5 33.333 (46.296)
Epoch: [3][40/100], lr: 0.00100	Time 0.230 (0.522)	Data 0.000 (0.284)	Loss 0.8275 (1.0308)	Prec@1 66.667 (45.528)	Prec@5 66.667 (45.528)
Epoch: [3][45/100], lr: 0.00100	Time 0.231 (0.490)	Data 0.000 (0.253)	Loss 0.9606 (1.0290)	Prec@1 33.333 (44.928)	Prec@5 33.333 (44.928)
Epoch: [3][50/100], lr: 0.00100	Time 0.231 (0.465)	Data 0.000 (0.228)	Loss 0.8403 (1.0232)	Prec@1 83.333 (45.752)	Prec@5 83.333 (45.752)
Epoch: [3][55/100], lr: 0.00100	Time 0.232 (0.444)	Data 0.000 (0.208)	Loss 1.0271 (1.0174)	Prec@1 50.000 (44.940)	Prec@5 50.000 (44.940)
Epoch: [3][60/100], lr: 0.00100	Time 0.232 (0.427)	Data 0.000 (0.191)	Loss 0.9322 (1.0225)	Prec@1 66.667 (45.082)	Prec@5 66.667 (45.082)
Epoch: [3][65/100], lr: 0.00100	Time 0.231 (0.412)	Data 0.000 (0.177)	Loss 0.8967 (1.0151)	Prec@1 50.000 (44.949)	Prec@5 50.000 (44.949)
Epoch: [3][70/100], lr: 0.00100	Time 0.231 (0.399)	Data 0.000 (0.164)	Loss 0.9046 (1.0052)	Prec@1 50.000 (45.070)	Prec@5 50.000 (45.070)
Epoch: [3][75/100], lr: 0.00100	Time 0.233 (0.388)	Data 0.000 (0.153)	Loss 1.2084 (1.0039)	Prec@1 50.000 (45.614)	Prec@5 50.000 (45.614)
Epoch: [3][80/100], lr: 0.00100	Time 0.231 (0.379)	Data 0.000 (0.144)	Loss 0.8834 (1.0126)	Prec@1 66.667 (45.267)	Prec@5 66.667 (45.267)
Epoch: [3][85/100], lr: 0.00100	Time 0.232 (0.370)	Data 0.000 (0.136)	Loss 0.9370 (1.0043)	Prec@1 33.333 (45.930)	Prec@5 33.333 (45.930)
Epoch: [3][90/100], lr: 0.00100	Time 0.230 (0.362)	Data 0.000 (0.128)	Loss 0.8702 (1.0040)	Prec@1 83.333 (46.520)	Prec@5 83.333 (46.520)
Epoch: [3][95/100], lr: 0.00100	Time 0.232 (0.356)	Data 0.000 (0.121)	Loss 0.8150 (0.9974)	Prec@1 33.333 (46.528)	Prec@5 33.333 (46.528)
Test: [0/25]	Time 11.878 (11.878)	Loss 0.0474 (0.0474)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [5/25]	Time 0.058 (2.031)	Loss 0.0010 (0.1872)	Prec@1 100.000 (88.889)	Prec@5 100.000 (88.889)
Test: [10/25]	Time 0.058 (1.134)	Loss 1.7575 (0.5931)	Prec@1 66.667 (77.273)	Prec@5 66.667 (77.273)
Test: [15/25]	Time 0.057 (0.798)	Loss 2.1276 (0.9307)	Prec@1 50.000 (67.708)	Prec@5 50.000 (67.708)
Test: [20/25]	Time 0.057 (0.621)	Loss 0.2134 (0.7775)	Prec@1 83.333 (71.429)	Prec@5 83.333 (71.429)
Testing Results: Prec@1 76.000 Prec@5 76.000 Loss 0.65544
Best Prec@1: 76.000

Epoch: [4][0/100], lr: 0.00100	Time 12.166 (12.166)	Data 11.633 (11.633)	Loss 0.9744 (0.9744)	Prec@1 16.667 (16.667)	Prec@5 16.667 (16.667)
Epoch: [4][5/100], lr: 0.00100	Time 0.230 (2.220)	Data 0.000 (1.939)	Loss 0.8326 (0.9652)	Prec@1 83.333 (58.333)	Prec@5 83.333 (58.333)
Epoch: [4][10/100], lr: 0.00100	Time 0.231 (1.316)	Data 0.000 (1.058)	Loss 0.8251 (0.9151)	Prec@1 50.000 (54.545)	Prec@5 50.000 (54.545)
Epoch: [4][15/100], lr: 0.00100	Time 0.231 (0.977)	Data 0.000 (0.727)	Loss 0.9868 (0.9513)	Prec@1 33.333 (48.958)	Prec@5 33.333 (48.958)
Epoch: [4][20/100], lr: 0.00100	Time 0.231 (0.799)	Data 0.000 (0.554)	Loss 1.0018 (0.9679)	Prec@1 16.667 (46.032)	Prec@5 16.667 (46.032)
Epoch: [4][25/100], lr: 0.00100	Time 0.232 (0.690)	Data 0.000 (0.448)	Loss 1.1831 (0.9582)	Prec@1 33.333 (46.795)	Prec@5 33.333 (46.795)
Epoch: [4][30/100], lr: 0.00100	Time 0.231 (0.616)	Data 0.000 (0.375)	Loss 0.7473 (0.9458)	Prec@1 66.667 (47.849)	Prec@5 66.667 (47.849)
Epoch: [4][35/100], lr: 0.00100	Time 0.232 (0.562)	Data 0.001 (0.323)	Loss 1.1595 (0.9397)	Prec@1 50.000 (49.074)	Prec@5 50.000 (49.074)
Epoch: [4][40/100], lr: 0.00100	Time 0.231 (0.522)	Data 0.000 (0.284)	Loss 1.1145 (0.9355)	Prec@1 33.333 (49.187)	Prec@5 33.333 (49.187)
Epoch: [4][45/100], lr: 0.00100	Time 0.231 (0.490)	Data 0.000 (0.253)	Loss 0.6851 (0.9260)	Prec@1 50.000 (50.000)	Prec@5 50.000 (50.000)
Epoch: [4][50/100], lr: 0.00100	Time 0.232 (0.465)	Data 0.000 (0.228)	Loss 1.8395 (0.9348)	Prec@1 16.667 (50.000)	Prec@5 16.667 (50.000)
Epoch: [4][55/100], lr: 0.00100	Time 0.232 (0.444)	Data 0.000 (0.208)	Loss 1.6751 (0.9387)	Prec@1 50.000 (50.298)	Prec@5 50.000 (50.298)
Epoch: [4][60/100], lr: 0.00100	Time 0.231 (0.427)	Data 0.000 (0.191)	Loss 0.9006 (0.9298)	Prec@1 33.333 (50.546)	Prec@5 33.333 (50.546)
Epoch: [4][65/100], lr: 0.00100	Time 0.232 (0.412)	Data 0.001 (0.177)	Loss 1.0136 (0.9319)	Prec@1 50.000 (51.010)	Prec@5 50.000 (51.010)
Epoch: [4][70/100], lr: 0.00100	Time 0.232 (0.399)	Data 0.000 (0.164)	Loss 0.7100 (0.9338)	Prec@1 66.667 (50.235)	Prec@5 66.667 (50.235)
Epoch: [4][75/100], lr: 0.00100	Time 0.234 (0.388)	Data 0.000 (0.153)	Loss 0.9639 (0.9359)	Prec@1 33.333 (50.219)	Prec@5 33.333 (50.219)
Epoch: [4][80/100], lr: 0.00100	Time 0.232 (0.379)	Data 0.000 (0.144)	Loss 0.8404 (0.9473)	Prec@1 66.667 (50.000)	Prec@5 66.667 (50.000)
Epoch: [4][85/100], lr: 0.00100	Time 0.231 (0.370)	Data 0.000 (0.136)	Loss 0.8004 (0.9543)	Prec@1 66.667 (49.031)	Prec@5 66.667 (49.031)
Epoch: [4][90/100], lr: 0.00100	Time 0.231 (0.362)	Data 0.000 (0.128)	Loss 0.7167 (0.9545)	Prec@1 83.333 (49.084)	Prec@5 83.333 (49.084)
Epoch: [4][95/100], lr: 0.00100	Time 0.232 (0.356)	Data 0.000 (0.121)	Loss 1.0413 (0.9588)	Prec@1 83.333 (48.611)	Prec@5 83.333 (48.611)
Test: [0/25]	Time 12.037 (12.037)	Loss 0.0633 (0.0633)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [5/25]	Time 0.057 (2.057)	Loss 0.0063 (0.2238)	Prec@1 100.000 (86.111)	Prec@5 100.000 (86.111)
Test: [10/25]	Time 0.057 (1.148)	Loss 1.2990 (0.4545)	Prec@1 50.000 (78.788)	Prec@5 50.000 (78.788)
Test: [15/25]	Time 0.057 (0.807)	Loss 1.2030 (0.6543)	Prec@1 50.000 (64.583)	Prec@5 50.000 (64.583)
Test: [20/25]	Time 0.058 (0.629)	Loss 0.2392 (0.5729)	Prec@1 83.333 (68.254)	Prec@5 83.333 (68.254)
Testing Results: Prec@1 70.667 Prec@5 70.667 Loss 0.54162
Best Prec@1: 76.000

